año,mes,piezas
2024,1,152237
2024,2,320710
2024,3,283526
2024,4,242452
2024,5,481530
2024,6,390628
2024,7,363762
2024,8,592299
2024,9,602736
2024,10,688904
2024,11,789904
2024,12,808417
2025,13,875507
2025,14,979526
2025,15,801497
2025,16,855362
2025,17,1060575
2025,18,1089675
2025,19,1133189
2025,20,1020566
2025,21,1051871
2025,22,1135729
2025,23,1165888
2025,24,1482811
